Year,Indicator,Value
1990,Sown_Area,1623.2
1991,Sown_Area,1595.9
1992,Sown_Area,1555.1
1993,Sown_Area,1473.8
1994,Sown_Area,1309.6
1995,Sown_Area,1284.6
1996,Sown_Area,1275.7
1997,Sown_Area,1184.3
1998,Sown_Area,1186.5
1999,Sown_Area,1157.7
2000,Sown_Area,1151.3
2001,Sown_Area,1122.1
2002,Sown_Area,1046
2003,Sown_Area,884
2004,Sown_Area,975.2
2005,Sown_Area,979.6
2006,Sown_Area,1010.3
2007,Sown_Area,961
2008,Sown_Area,1028.8
2009,Sown_Area,1062.9
2010,Sown_Area,1082.1
1990,Cattle,820.1
1991,Cattle,797.1999999999999
1992,Cattle,773.2
1993,Cattle,712.9
1994,Cattle,592.8
1995,Cattle,541.5
1996,Cattle,467.2
1997,Cattle,396.1
1998,Cattle,359.9
1999,Cattle,367.40000000000003
2000,Cattle,376.3
2001,Cattle,360.1
2002,Cattle,340.4
2003,Cattle,310.3
2004,Cattle,278.8
2005,Cattle,256.7
2006,Cattle,266.5
2007,Cattle,269.6
2008,Cattle,259.4
2009,Cattle,261.3
2010,Cattle,254.302
