"","MunicipalDistrict_en","MunicipalDistrict_ru","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1","Abatsky rayon","Абатский район",27800,27900,27800,28000,27900,27600,26900,26100,25700,25300,24900,24500,23900,23500,23400,23100,22900,22600,22300,22022,20003,19757,18631,17975,17819,17437,17303,17258,17071,16790
"2","Armizonsky rayon","Армизонский район",14800,14400,14300,14300,14000,13600,13000,12900,12400,12100,11900,11700,11300,11000,10800,10500,10300,10100,10100,10013,10090,10050,9771,9626,9452,9371,9274,9344,9301,9256
"3","Aromashevsky rayon","Аромашевский район",18000,17600,17300,17300,17100,16800,16200,15700,15400,15100,14900,14700,14400,14100,14000,13900,13700,13400,13200,13092,12269,12135,11799,11543,11312,11072,10957,10800,10568,10356
"4","Berdyuzhsky rayon","Бердюжский район",15400,15300,15200,15400,15200,15200,14800,14300,14000,13600,13400,13400,13200,13000,12800,12600,12400,12300,12100,12042,11578,11456,11211,11022,10920,10958,10907,10836,10784,10710
"5","Vagaysky rayon","Вагайский район",28500,28100,28000,28100,27800,27400,26900,26500,26000,25700,25500,25300,24900,24500,24400,24200,24000,23800,23600,23484,22550,22499,21870,21433,21277,21115,21092,20849,20749,20549
"6","Vikulovsky rayon","Викуловский район",21700,21400,21400,21600,21200,21200,20600,20100,19900,19500,19200,19000,18600,18400,18200,18200,18000,17800,17700,17498,16526,16411,16059,15959,15816,15768,15579,15510,15431,15267
"7","Golyshmanovsky rayon","Голышмановский район",30500,30200,30100,30200,30200,30100,29900,29500,29400,29100,28800,28600,28200,27900,27900,27900,28000,28400,28400,28323,26811,26710,26379,26220,26135,26129,26056,26040,25851,25477
"8","Zavodoukovsky rayon","Заводоуковский городской округ",24100,23600,23600,23800,23700,24300,24400,24400,24200,24000,23700,23400,23000,22600,22200,21700,21300,21000,20700,20700,20600,21093,20739,20594,20798,20964,21032,20954,20772,20392
"9","Isetsky rayon","Исетский район",27100,26700,26300,26400,26400,26600,26700,26800,27000,27100,27200,27200,26900,26500,26300,26100,26100,26000,25900,25905,25963,26051,25819,25734,25693,25849,25770,25661,25318,25150
"10","Ishimsky rayon","Ишимский район",36500,36300,36300,36600,36400,36500,36300,36100,36000,35600,35600,35500,35100,34600,34000,33600,33100,32800,32600,32388,31234,31022,30826,30750,30715,30301,30026,29921,29568,29170
"11","Kazansky rayon","Казанский район",24800,24500,24300,24500,24500,24800,24600,24600,24900,24800,24600,24500,24200,23900,23700,23400,23000,22600,22200,22137,22465,22472,22240,22129,21973,22042,21955,21848,21622,21343
"12","Nizhnetavdinsky rayon","Нижнетавдинский район",28300,28400,27900,27900,27400,27100,26400,25800,25500,25300,25100,24900,24500,24100,24100,24000,24000,24100,24000,24145,22947,23077,23165,23474,23618,23393,23109,22813,22216,21941
"13","Omutinsky rayon","Омутинский район",25800,25700,25800,25800,24700,24300,23800,23100,22600,22200,22000,21800,21200,20900,20800,20600,20300,20200,20100,20020,19653,19602,19368,19194,18992,18914,18819,18658,18457,18298
"14","Sladkovsky rayon","Сладковский район",18300,18000,18100,18100,17800,17900,17200,16700,16400,16100,15900,15700,15300,15000,15000,14800,14600,14400,14300,14170,12402,12205,11863,11572,11308,11106,10904,10658,10412,10192
"15","Sorokinsky rayon","Сорокинский район",14000,13800,13500,13500,13300,13100,12900,12700,12500,12400,12300,12100,11900,11800,11700,11500,11400,11300,11200,11197,10296,10282,10052,9980,10035,10037,9954,9894,9692,9517
"16","Tobolsky rayon","Тобольский район",27400,27000,27000,27000,26500,26200,25900,25500,25300,24900,24700,24400,23900,23600,23400,23300,23000,23000,23000,22892,22492,22301,21869,21674,21394,21367,21282,21151,20895,20535
"17","Tyumensky rayon","Тюменский район",93200,93500,92800,93300,93500,94200,94100,93700,94400,94900,94800,94300,92900,93300,93000,92700,92500,92400,92600,93352,106408,107269,108972,110861,113250,115838,117986,118123,118965,123720
"18","Uvatsky rayon","Уватский район",19600,19400,19300,19500,19400,19500,19400,19500,19600,19500,19400,19400,19300,19300,19300,19200,19300,19300,19300,19401,19310,19463,19419,19409,19387,19258,19100,19125,19176,19177
"19","Uporovsky rayon","Упоровский район",22500,22300,22300,22500,22300,22200,21800,21500,21300,21200,21200,21200,20900,20900,21000,21100,21200,21200,21100,21172,20579,20668,20514,20465,20499,20678,20783,20896,20824,20578
"20","Yurginsky rayon","Юргинский район",16800,16400,16200,16300,16400,15600,15300,14900,14500,14300,14200,13900,13600,13400,13200,12900,12700,12500,12200,12159,12380,12285,12008,11816,11735,11786,11703,11573,11454,11328
"21","Yalutorovsky rayon","Ялуторовский район",17400,17300,17400,17400,17200,17000,16900,16400,16200,16100,16100,16100,15900,15800,15800,15800,15800,15700,15600,15621,14435,14426,14468,14366,14436,14559,14679,14594,14417,14116
"22","Yarkovsky rayon","Ярковский район",25500,25800,26000,26300,25900,25700,25400,25200,25100,25100,25300,25100,25100,25100,24900,24800,24800,24700,24500,24568,23294,23196,22724,22633,22707,22937,23114,23324,23268,23158
